学号,开始日期,结束日期,学院,专业,班级,见证人
202300001,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300002,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300003,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300004,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300005,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300006,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300007,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300008,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300009,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300010,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300011,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300012,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300013,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300014,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300015,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300016,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300017,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300018,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300019,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300020,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300021,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300022,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300023,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300024,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300025,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300026,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300027,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300028,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300029,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300030,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300031,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300032,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300033,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300034,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2301班,李文静
202300035,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300036,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300037,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300038,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300039,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300040,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300041,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300042,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300043,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300044,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300045,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300046,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300047,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300048,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300049,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300050,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300051,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300052,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300053,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300054,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300055,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300056,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300057,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300058,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300059,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300060,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300061,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300062,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
