学号,学期,学院,专业,互评成绩,综测成绩,GPA,GPA排名,综测排名,专业人数
202300001,2023-2024-1,汽车工程学院,车辆工程,92.0,87.5,3.02,134,134,136
202300001,2023-2024-2,汽车工程学院,车辆工程,91.6,85.8,3.21,110,110,136
202300001,2024-2025-1,汽车工程学院,车辆工程,89.8,71.4,3.15,35,35,136
202300001,2024-2025-2,汽车工程学院,车辆工程,87.5,95.8,3.27,41,41,136
202300001,2025-2026-1,汽车工程学院,车辆工程,82.1,85.4,2.94,98,98,136
202300001,2025-2026-2,汽车工程学院,车辆工程,71.6,85.6,3.19,76,76,136
202300002,2023-2024-1,汽车工程学院,车辆工程,74.1,76.5,3.47,75,75,136
202300002,2023-2024-2,汽车工程学院,车辆工程,70.3,73.5,3.12,55,55,136
202300002,2024-2025-1,汽车工程学院,车辆工程,87.3,88.2,3.31,7,7,136
202300002,2024-2025-2,汽车工程学院,车辆工程,83.5,91.7,3.92,14,14,136
202300002,2025-2026-1,汽车工程学院,车辆工程,70.7,80.6,3.02,135,135,136
202300002,2025-2026-2,汽车工程学院,车辆工程,90.3,77.4,3.62,5,5,136
202300003,2023-2024-1,汽车工程学院,车辆工程,71.5,75.0,3.61,105,105,136
202300003,2023-2024-2,汽车工程学院,车辆工程,88.1,93.1,3.57,50,50,136
202300003,2024-2025-1,汽车工程学院,车辆工程,74.8,75.1,3.7,83,83,136
202300003,2024-2025-2,汽车工程学院,车辆工程,89.2,82.6,2.93,39,39,136
202300003,2025-2026-1,汽车工程学院,车辆工程,82.3,79.2,2.98,12,12,136
202300003,2025-2026-2,汽车工程学院,车辆工程,70.5,93.0,2.74,74,74,136
202300004,2023-2024-1,汽车工程学院,车辆工程,79.1,84.4,3.46,108,108,136
202300004,2023-2024-2,汽车工程学院,车辆工程,84.1,79.8,3.9,98,98,136
202300004,2024-2025-1,汽车工程学院,车辆工程,86.0,93.6,3.49,7,7,136
202300004,2024-2025-2,汽车工程学院,车辆工程,85.5,81.7,3.19,23,23,136
202300004,2025-2026-1,汽车工程学院,车辆工程,70.3,68.6,3.53,129,129,136
202300004,2025-2026-2,汽车工程学院,车辆工程,75.2,73.6,3.17,4,4,136
202300005,2023-2024-1,汽车工程学院,车辆工程,94.7,95.8,3.08,19,19,136
202300005,2023-2024-2,汽车工程学院,车辆工程,93.2,89.3,3.31,83,83,136
202300005,2024-2025-1,汽车工程学院,车辆工程,84.9,81.7,3.92,44,44,136
202300005,2024-2025-2,汽车工程学院,车辆工程,80.9,78.4,3.24,30,30,136
202300005,2025-2026-1,汽车工程学院,车辆工程,80.7,83.7,2.85,106,106,136
202300005,2025-2026-2,汽车工程学院,车辆工程,81.8,84.5,3.22,83,83,136
202300006,2023-2024-1,汽车工程学院,车辆工程,77.8,90.5,2.85,27,27,136
202300006,2023-2024-2,汽车工程学院,车辆工程,73.6,95.3,3.94,60,60,136
202300006,2024-2025-1,汽车工程学院,车辆工程,88.8,68.2,3.91,62,62,136
202300006,2024-2025-2,汽车工程学院,车辆工程,83.3,79.6,3.61,19,19,136
202300006,2025-2026-1,汽车工程学院,车辆工程,92.5,94.8,2.95,92,92,136
202300006,2025-2026-2,汽车工程学院,车辆工程,78.7,71.9,3.06,24,24,136
202300007,2023-2024-1,汽车工程学院,车辆工程,84.8,79.5,2.8,62,62,136
202300007,2023-2024-2,汽车工程学院,车辆工程,87.0,77.4,3.67,131,131,136
202300007,2024-2025-1,汽车工程学院,车辆工程,82.7,88.5,3.1,129,129,136
