学号,荣誉名称,级别,授予单位,获得日期,状态,审核人,审核意见
202300001,校二等奖学金,校级,校团委,2025-04-05,通过,李文静,符合认定条件，通过
202300001,校二等奖学金,校级,汽车工程学院,2023-05-16,通过,李文静,符合认定条件，通过
202300002,国家奖学金,国家级,汽车工程学院,2024-01-28,通过,李文静,材料齐全，同意认定
202300002,国家奖学金,国家级,学生工作处,2026-01-19,待审核,,
202300003,社会实践先进个人,校级,校团委,2023-11-25,通过,李文静,佐证材料完整，予以通过
202300003,校三好学生,校级,汽车工程学院,2025-07-21,待院长审批,李文静,初审通过，转院长审批
202300004,社会实践先进个人,校级,校团委,2026-01-12,通过,李文静,佐证材料完整，予以通过
202300004,校三等奖学金,校级,学生工作处,2023-10-01,通过,李文静,材料齐全，同意认定
202300005,优秀共青团员,校级,汽车工程学院,2025-08-16,通过,李文静,材料齐全，同意认定
202300005,社会实践先进个人,校级,汽车工程学院,2023-02-18,通过,李文静,材料齐全，同意认定
202300006,校优秀学生干部,校级,校团委,2026-07-24,通过,李文静,材料齐全，同意认定
202300006,国家励志奖学金,国家级,学校,2023-12-27,待审核,,
202300007,优秀共青团干部,校级,学生工作处,2025-11-22,通过,李文静,佐证材料完整，予以通过
202300007,军训优秀学员,院级,校团委,2025-08-28,通过,李文静,材料齐全，同意认定
202300008,校一等奖学金,校级,学生工作处,2023-02-13,通过,李文静,材料齐全，同意认定
202300008,校园十佳志愿者,校级,校团委,2024-10-20,通过,李文静,佐证材料完整，予以通过
202300009,军训优秀学员,院级,校团委,2026-02-27,通过,李文静,佐证材料完整，予以通过
202300009,校二等奖学金,校级,校团委,2023-09-28,通过,李文静,材料齐全，同意认定
202300010,社会实践先进个人,校级,学生工作处,2026-05-15,通过,李文静,符合认定条件，通过
202300010,校一等奖学金,校级,汽车工程学院,2024-10-12,通过,李文静,材料齐全，同意认定
202300011,社会实践先进个人,校级,学校,2023-07-06,通过,李文静,材料齐全，同意认定
202300011,校三好学生,校级,学生工作处,2026-05-28,通过,李文静,佐证材料完整，予以通过
202300012,校优秀学生干部,校级,学校,2024-06-15,通过,李文静,符合认定条件，通过
202300012,国家奖学金,国家级,学校,2023-03-06,通过,李文静,材料齐全，同意认定
202300013,国家励志奖学金,国家级,学校,2023-05-06,通过,李文静,符合认定条件，通过
202300013,社会实践先进个人,校级,学生工作处,2025-03-07,通过,李文静,材料齐全，同意认定
202300014,国家奖学金,国家级,学生工作处,2024-09-01,通过,李文静,材料齐全，同意认定
202300014,国家励志奖学金,国家级,学校,2023-05-15,通过,李文静,佐证材料完整，予以通过
202300015,国家奖学金,国家级,学校,2023-08-24,待院长审批,李文静,初审通过，转院长审批
202300015,优秀共青团干部,校级,汽车工程学院,2024-07-26,通过,李文静,符合认定条件，通过
202300016,校园十佳志愿者,校级,汽车工程学院,2025-01-26,通过,李文静,佐证材料完整，予以通过
202300016,国家奖学金,国家级,汽车工程学院,2025-04-27,通过,李文静,佐证材料完整，予以通过
202300017,优秀共青团员,校级,学校,2025-07-12,通过,李文静,符合认定条件，通过
202300017,优秀共青团员,校级,汽车工程学院,2025-11-11,通过,李文静,符合认定条件，通过
202300018,国家励志奖学金,国家级,学生工作处,2024-02-17,通过,李文静,佐证材料完整，予以通过
202300018,优秀共青团员,校级,学校,2025-01-23,通过,李文静,符合认定条件，通过
202300019,校二等奖学金,校级,校团委,2026-03-09,通过,李文静,符合认定条件，通过
202300019,校二等奖学金,校级,校团委,2026-05-10,通过,李文静,符合认定条件，通过
202300020,校三好学生,校级,校团委,2024-11-26,通过,李文静,符合认定条件，通过
202300020,国家励志奖学金,国家级,校团委,2025-11-24,通过,李文静,符合认定条件，通过
