学号,组织名称,组织类型,职务,开始日期,结束日期,状态,审核人,审核意见
202300002,智能汽车协会,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300003,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300006,车辆2301班,班团委,班长,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300008,校学生会,学生会组织,主席团,2023-09-01,2024-09-01,公示中,李文静,材料齐全，同意认定
202300009,校学生会,学生会组织,部长,2023-09-01,2024-09-01,待审核,,
202300010,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300011,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300014,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,公示中,李文静,材料齐全，同意认定
202300015,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300018,车辆2301班,班团委,体育委员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300019,校学生会,学生会组织,部长,2023-09-01,2024-09-01,待审核,,
202300020,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300021,车辆2301班,班团委,团支书,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300022,车辆2301班,班团委,文艺委员,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300023,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,待审核,,
202300024,车辆2301班,班团委,团支书,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300026,车辆2301班,班团委,文艺委员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300027,校学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300029,车辆2301班,班团委,体育委员,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300030,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300032,车辆2301班,班团委,体育委员,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300033,FSAE方程式赛车队,科技类社团,成员,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300034,车辆2301班,班团委,文艺委员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300036,校学生会,学生会组织,主席团,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300037,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300038,车辆2302班,班团委,体育委员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300039,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300040,车辆2302班,班团委,班长,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300041,智能汽车协会,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300042,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300043,FSAE方程式赛车队,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300044,车辆2302班,班团委,学习委员,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300045,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300046,车辆2302班,班团委,体育委员,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300047,车辆2302班,班团委,团支书,2023-09-01,2024-09-01,待审核,,
202300048,智能汽车协会,科技类社团,副社长,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300049,FSAE方程式赛车队,科技类社团,成员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300050,车辆2302班,班团委,文艺委员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300052,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300053,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300054,校学生会,学生会组织,主席团,2023-09-01,2024-09-01,待审核,,
202300057,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300061,校学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300062,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300065,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300067,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300068,车辆2302班,班团委,班长,2023-09-01,2024-09-01,公示中,李文静,佐证材料完整，予以通过
