学号,团队名称,类型,主题,主办单位,开始日期,结束日期,状态,审核人,审核意见
202300001,赴东营企业走访实践团,自主实践团队,企业走访见习,汽车工程学院,2024-07-03,2024-07-24,通过,李文静,佐证材料完整，予以通过
202300001,赴烟台黄河流域实践团,校级重点团队,黄河流域生态考察,校团委,2025-07-09,2025-07-27,通过,李文静,佐证材料完整，予以通过
202300002,赴德州乡村振兴实践团,自主实践团队,乡村振兴调研,威海团市委,2024-07-07,2024-07-26,通过,李文静,佐证材料完整，予以通过
202300002,赴青岛红色基因实践团,校级重点团队,红色基因传承,汽车工程学院,2025-07-07,2025-07-23,通过,李文静,佐证材料完整，予以通过
202300003,赴烟台海洋生态实践团,院级重点团队,海洋生态保护宣传,威海团市委,2024-07-09,2024-07-18,通过,李文静,佐证材料完整，予以通过
202300003,赴泰安红色基地实践团,校级重点团队,红色基地研学,威海团市委,2025-07-05,2025-07-17,待审核,,
202300004,赴青岛汽车产业实践团,自主实践团队,汽车产业链调研,校团委,2024-07-02,2024-07-15,通过,李文静,符合认定条件，通过
202300004,赴枣庄红色基地实践团,院级重点团队,红色基地研学,汽车工程学院,2025-07-05,2025-07-24,通过,李文静,材料齐全，同意认定
202300005,赴青岛乡村振兴实践团,校级重点团队,乡村振兴调研,校团委,2024-07-07,2024-07-18,待审核,,
202300005,赴济宁海洋生态实践团,院级重点团队,海洋生态保护宣传,汽车工程学院,2025-07-02,2025-07-17,通过,李文静,符合认定条件，通过
202300006,赴枣庄社区志愿实践团,企业实习实践,社区志愿服务,校团委,2024-07-07,2024-07-27,待审核,,
202300006,赴济宁社区志愿实践团,企业实习实践,社区志愿服务,威海团市委,2025-07-03,2025-07-28,通过,李文静,佐证材料完整，予以通过
202300007,赴泰安企业走访实践团,返家乡实践,企业走访见习,威海团市委,2024-07-02,2024-07-22,通过,李文静,佐证材料完整，予以通过
202300007,赴东营黄河流域实践团,院级重点团队,黄河流域生态考察,威海团市委,2025-07-05,2025-07-19,通过,李文静,材料齐全，同意认定
202300008,赴日照关爱留守实践团,自主实践团队,关爱留守儿童,校团委,2024-07-01,2024-07-15,待审核,,
202300008,赴德州关爱留守实践团,自主实践团队,关爱留守儿童,威海团市委,2025-07-04,2025-07-23,通过,李文静,材料齐全，同意认定
202300009,赴青岛海洋生态实践团,院级重点团队,海洋生态保护宣传,汽车工程学院,2024-07-01,2024-07-20,通过,李文静,材料齐全，同意认定
202300009,赴青岛海洋生态实践团,企业实习实践,海洋生态保护宣传,汽车工程学院,2025-07-03,2025-07-21,通过,李文静,符合认定条件，通过
202300010,赴枣庄关爱留守实践团,企业实习实践,关爱留守儿童,威海团市委,2024-07-09,2024-07-17,通过,李文静,材料齐全，同意认定
202300010,赴聊城乡村振兴实践团,校级重点团队,乡村振兴调研,威海团市委,2025-07-04,2025-07-24,通过,李文静,符合认定条件，通过
202300011,赴淄博科技支农实践团,返家乡实践,科技支农帮扶,威海团市委,2024-07-08,2024-07-26,通过,李文静,材料齐全，同意认定
202300011,赴临沂黄河流域实践团,院级重点团队,黄河流域生态考察,校团委,2025-07-09,2025-07-17,通过,李文静,材料齐全，同意认定
